Rank,cca3,Country,Capital,Continent,2023,2022,2020,2010,2015,2000,1990,1980,1970,Area,netChange,GrowthRate,Density,WorldPercentage
2,CHN,China,Beijing,Asia,1425671352,1425887337,1424929781,1348191368,1393715448,1264099069,1153704252,982372466,822534450,9706961,-0.0113,-0.0002,151.2696,0.1781
28,COL,Colombia,Bogota,South America,52085168,51874024,50930662,44816108,47119728,39215135,32601393,26176195,20905254,1141748,0.008,0.0041,46.9447,0.0065
163,COM,Comoros,Moroni,Africa,852075,836774,806166,656024,730216,536758,431119,328328,242351,1862,0.0005,0.0183,457.8587,0.0001
223,COK,Cook Islands,Avarua,Oceania,17044,17011,17029,17212,17695,15897,17123,17651,20470,240,0,0.0019,71.0167,0
124,CRI,Costa Rica,San José,North America,5212173,5180829,5123105,4622252,4895242,3979193,3158253,2414303,1855697,51100,0.0011,0.006,102.0794,0.0007
130,HRV,Croatia,Zagreb,Europe,4008617,4030358,4096868,4368682,4254815,4548434,4873707,4680144,4492638,56594,-0.0007,-0.0054,71.6336,0.0005
85,CUB,Cuba,Havana,North America,11194449,11212191,11300698,11290417,11339894,11105791,10626680,9809107,8869636,109884,-0.0006,-0.0016,107.8463,0.0014
189,CUW,Curacao,Willemstad,North America,192077,191163,189288,159380,169572,141424,155446,156851,150385,444,0,0.0048,432.6059,0
158,CYP,Cyprus,Nicosia,Europe,1260138,1251488,1237537,1129686,1187280,948237,788500,679327,640804,9251,0.0003,0.0069,136.3786,0.0002
89,CZE,Czech Republic,Prague,Europe,10495295,10493986,10530953,10464749,10523798,10234710,10301192,10270060,9795744,78865,0.0003,0.0001,135.9521,0.0013
115,DNK,Denmark,Copenhagen,Europe,5910913,5882261,5825641,5550849,5677796,5340655,5144623,5125392,4922963,43094,0.0009,0.0049,147.7728,0.0007
160,DJI,Djibouti,Djibouti,Africa,1136455,1120849,1090156,919199,1006259,742033,577173,324121,144379,23200,0.0005,0.0139,49.0274,0.0001
204,DMA,Dominica,Roseau,North America,73040,72737,71995,68755,70007,68346,69481,72978,68895,751,0,0.0042,97.3867,0
84,DOM,Dominican Republic,Santo Domingo,North America,11332972,11228821,10999664,9775755,10405832,8540791,7129004,5755800,4475871,48671,0.0032,0.0093,234.5885,0.0014
15,COD,DR Congo,Kinshasa,Africa,102262808,99010212,92853164,66391257,78656904,48616317,35987541,26708686,20151733,2344858,0.105,0.0329,45.1083,0.0128
68,ECU,Ecuador,Quito,South America,18190484,18001000,17588595,14989585,16195902,12626507,10449837,8135845,6172215,276841,0.006,0.0105,73.2424,0.0023
14,EGY,Egypt,Cairo,Africa,112716598,110990103,107465134,87252413,97723799,71371371,57214630,43748556,34781986,1002450,0.0551,0.0156,113.2318,0.0141
112,SLV,El Salvador,San Salvador,North America,6364943,6336392,6292731,6114034,6231066,5958482,5367179,4508992,3619090,21041,0.001,0.0045,307.1884,0.0008
152,GNQ,Equatorial Guinea,Malabo,Africa,1714671,1674908,1596049,1094524,1346973,684977,465549,282509,316955,28051,0.0013,0.0237,61.1291,0.0002
131,ERI,Eritrea,Asmara,Africa,3748901,3684032,3555868,3147727,3340006,2392880,2149960,1657982,1272748,117600,0.0021,0.0176,30.9722,0.0005
156,EST,Estonia,Tallinn,Europe,1322765,1326062,1329444,1331535,1314657,1396877,1570674,1476983,1361999,45227,-0.0001,-0.0025,30.9419,0.0002
159,SWZ,Eswatini,Mbabane,Africa,1210822,1201670,1180655,1099920,1133936,1030496,854011,598564,442865,17364,0.0003,0.0076,70.3966,0.0002
11,ETH,Ethiopia,Addis Ababa,Africa,126527060,123379924,117190911,89237791,102471895,67031867,47878073,34945469,28308246,1104300,0.1008,0.0255,112.1126,0.0158
231,FLK,Falkland Islands,Stanley,South America,3791,3780,3747,3187,3408,3080,2332,2240,2274,12173,,0.0029,0.3114,
209,FRO,Faroe Islands,Tórshavn,Europe,53270,53090,52415,48410,48816,45660,47479,43054,38416,1393,0,0.0034,38.9971,0
162,FJI,Fiji,Suva,Oceania,936375,929766,920422,905169,917200,832509,780430,644582,527634,18272,0.0002,0.0071,51.2521,0.0001
