Rank,cca3,Country,Capital,Continent,2023,2022,2020,2010,2015,2000,1990,1980,1970,Area,netChange,GrowthRate,Density,WorldPercentage
218,SMR,San Marino,San Marino,Europe,33642,33660,34007,31608,33570,26823,23132,21346,18169,61,,-0.0005,560.7,0
187,STP,Sao Tome and Principe,São Tomé,Africa,231856,227380,218641,182138,201124,143714,120343,97210,77583,964,0.0001,0.0197,241.5167,0
40,SAU,Saudi Arabia,Riyadh,Asia,36947025,36408820,35997107,29411929,32749848,21547390,16004763,10171710,6106191,2149690,0.0169,0.0148,17.1871,0.0046
71,SEN,Senegal,Dakar,Africa,17763163,17316449,16436119,12530121,14356181,9704287,7536001,5703869,4367744,196722,0.0144,0.0258,92.2618,0.0022
105,SRB,Serbia,Belgrade,Europe,7149077,7221365,7358005,7653748,7519496,7935022,7987529,7777010,7193533,88361,-0.002,-0.01,81.7411,0.0009
197,SYC,Seychelles,Victoria,Africa,107660,107118,105530,92409,99240,80060,71057,65290,54379,452,0,0.0051,234.0435,0
102,SLE,Sierra Leone,Freetown,Africa,8791092,8605718,8233969,6436698,7314773,4584067,4325388,3367477,2778557,71740,0.0059,0.0215,121.794,0.0011
114,SGP,Singapore,Singapore,Asia,6014723,5975689,5909869,5163590,5650018,4053602,3022209,2400729,2061831,710,0.0012,0.0065,8377.0515,0.0008
213,SXM,Sint Maarten,Philipsburg,North America,44222,44175,43621,33034,40205,30489,27845,12243,6260,34,0,0.0011,1300.6471,0
116,SVK,Slovakia,Bratislava,Europe,5795199,5643453,5456681,5396424,5424444,5376690,5261305,4973883,4522867,49037,-0.0033,0.0269,118.1849,0.0007
149,SVN,Slovenia,Ljubljana,Europe,2119675,2119844,2117641,2057287,2080862,1984339,1986024,1901570,1741286,20273,0,-0.0001,105.2658,0.0003
166,SLB,Solomon Islands,Honiara,Oceania,740424,724273,691191,540394,612660,429978,324171,233668,172833,28896,0.0005,0.0223,26.4532,0.0001
69,SOM,Somalia,Mogadishu,Africa,18143378,17597511,16537016,12026649,13763906,8721465,6999096,5892224,3720977,637657,0.0176,0.031,28.9211,0.0023
24,ZAF,South Africa,Pretoria,Africa,60414495,59893885,58801927,51784921,55876504,46813266,39877570,29463549,22368306,1221037,0.0173,0.0087,49.8022,0.0075
29,KOR,South Korea,Seoul,Asia,51784059,51815810,51844690,48813042,50994401,46788591,44120039,38170501,32601143,100210,-0.0012,-0.0006,530.5744,0.0065
86,SSD,South Sudan,Juba,Africa,11088796,10913164,10606227,9714419,11194299,6114440,4750817,4192012,3342410,619745,0.0058,0.0161,17.5475,0.0014
32,ESP,Spain,Madrid,Europe,47519628,47558630,47363807,46572772,46431342,40741651,38889889,37491666,33792617,505992,-0.0014,-0.0008,95.1236,0.0059
61,LKA,Sri Lanka,Colombo,Asia,21893579,21832143,21715079,20668557,21336697,18776371,17204094,14943645,12388769,65610,0.0018,0.0028,353.9214,0.0027
31,SDN,Sudan,Khartoum,Africa,48109006,46874204,44440486,33739933,38171178,26298773,21090886,16673586,11305206,1886068,0.0394,0.0263,25.7543,0.006
170,SUR,Suriname,Paramaribo,South America,623236,618040,607065,546080,575475,478998,412756,375112,379918,163820,0.0002,0.0084,3.9951,0.0001
87,SWE,Sweden,Stockholm,Europe,10612086,10549347,10368969,9381729,9849349,8871043,8548406,8311763,8027702,450295,0.002,0.0059,26.0558,0.0013
101,CHE,Switzerland,Bern,Europe,8796669,8740472,8638613,7822435,8281732,7182059,6711693,6319113,6181227,41284,0.0018,0.0064,222.6103,0.0011
60,SYR,Syria,Damascus,Asia,23227014,22125249,20772595,22337563,19205178,16307654,12408996,8898954,6319199,185180,0.0359,0.0498,126.4881,0.0029
57,TWN,Taiwan,Taipei,Asia,23923276,23893394,23821464,23083083,23512136,22194731,20586174,18100281,14957870,36193,0.0009,0.0013,660.9188,0.003
95,TJK,Tajikistan,Dushanbe,Asia,10143543,9952787,9543207,7621779,8524063,6272998,5417860,4045965,2993019,143100,0.006,0.0192,73.0855,0.0013
22,TZA,Tanzania,Dodoma,Africa,67438106,65497748,61704518,45110527,52542823,34463704,26206012,19297659,13618192,945087,0.0622,0.0296,76.1324,0.0084
20,THA,Thailand,Bangkok,Asia,71801279,71697030,71475664,68270489,70294397,63066603,55228410,45737753,35791728,513120,0.003,0.0015,140.5416,0.009
155,TLS,Timor-Leste,Dili,Asia,1360596,1341296,1299995,1088486,1205813,878360,758106,642224,554021,14874,0.0006,0.0144,91.4994,0.0002
99,TGO,Togo,Lomé,Africa,9053799,8848699,8442580,6571855,7473229,5008035,3875947,2838110,2197383,56785,0.0065,0.0232,166.4607,0.0011
233,TKL,Tokelau,Nukunonu,Oceania,1893,1871,1827,1367,1454,1666,1669,1647,1714,12,,0.0118,189.3,
196,TON,Tonga,Nuku‘alofa,Oceania,107773,106858,105254,107383,106122,102603,98727,96708,86484,747,0,0.0086,149.6847,0
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,1534937,1531044,1518147,1410296,1460177,1332203,1266518,1127852,988890,5130,0.0001,0.0025,299.208,0.0002
79,TUN,Tunisia,Tunis,Africa,12458223,12356117,12161723,10895063,11557779,9893316,8440023,6578156,5047404,163610,0.0035,0.0083,80.1894,0.0016
18,TUR,Turkey,Ankara,Asia,85816199,85341241,84135428,73195345,79646178,64113547,54324142,44089069,35540990,783562,0.0143,0.0056,109.5206,0.0107
111,TKM,Turkmenistan,Ashgabat,Asia,6516100,6430770,6250438,5267970,5766431,4569132,3720278,2862903,2201432,488100,0.0026,0.0133,13.8661,0.0008
212,TCA,Turks and Caicos Islands,Cockburn Town,North America,46062,45703,44276,29726,36538,18744,11709,7598,5665,948,0,0.0079,48.5886,0
227,TUV,Tuvalu,Funafuti,Oceania,11396,11312,11069,10550,10877,9638,9182,7731,5814,26,0,0.0074,379.8667,0
30,UGA,Uganda,Kampala,Africa,48582334,47249585,44404611,32341728,37477356,24020697,17586630,13284026,10317212,241550,0.0423,0.0282,242.2817,0.0061
41,UKR,Ukraine,Kiev,Europe,36744634,39701739,43909666,45683020,44982564,48879755,51589817,49973920,47279086,603500,0.0428,-0.0745,63.4184,0.0046
96,ARE,United Arab Emirates,Abu Dhabi,Asia,9516871,9441129,9287289,8481771,8916899,3275333,1900151,1014048,298084,83600,0.0024,0.008,134.0027,0.0012
21,GBR,United Kingdom,London,Europe,67736802,67508936,67059474,62760039,65224364,58850043,57210442,56326328,55650166,242900,0.0072,0.0034,279.9851,0.0085
3,USA,United States,"Washington, D.C.",North America,339996563,338289857,335942003,311182845,324607776,282398554,248083732,223140018,200328340,9372610,0.0581,0.005,37.1686,0.0425
200,VIR,United States Virgin Islands,Charlotte Amalie,North America,98750,99465,100442,106142,102803,108185,100685,96640,63446,347,0,-0.0072,284.5821,0
135,URY,Uruguay,Montevideo,South America,3423108,3422794,3429086,3352651,3402818,3292224,3117012,2953750,2790265,181034,0,0.0001,19.5584,0.0004
43,UZB,Uzbekistan,Tashkent,Asia,35163944,34627652,33526656,28614227,30949417,24925554,20579100,15947129,12011361,447400,0.0166,0.0155,79.8002,0.0044
182,VUT,Vanuatu,Port-Vila,Oceania,334506,326740,311685,245453,276438,192074,150882,118156,87019,12189,0.0002,0.0238,27.441,0
234,VAT,Vatican City,Vatican City,Europe,518,510,520,596,564,651,700,733,752,0.44,,0.0157,1177.2727,
52,VEN,Venezuela,Caracas,South America,28838499,28301696,28490453,28715022,30529716,24427729,19750579,15210443,11355475,916445,0.0179,0.019,32.6949,0.0036
16,VNM,Vietnam,Hanoi,Asia,98858950,98186856,96648685,87411012,92191398,79001142,66912613,52968270,41928849,331212,0.0208,0.0068,315.411,0.0123
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,11502,11572,11655,13142,12182,14723,13454,11315,9377,274,0,-0.006,41.9781,0
172,ESH,Western Sahara,El Aaiún,Africa,587259,575986,556048,413296,491824,270375,178529,116775,76371,266000,0.0004,0.0196,2.2077,0.0001
44,YEM,Yemen,Sanaa,Asia,34449825,33696614,32284046,24743946,28516545,18628700,13375121,9204938,6843607,527968,0.024,0.0224,65.2496,0.0043
63,ZMB,Zambia,Lusaka,Africa,20569737,20017675,18927715,13792086,16248230,9891136,7686401,5720438,4281671,752612,0.0178,0.0276,27.6702,0.0026
74,ZWE,Zimbabwe,Harare,Africa,16665409,16320537,15669666,12839771,14154937,11834676,10113893,7049926,5202918,390757,0.0112,0.0211,43.0798,0.0021
